regulator	target	bootstraps
PLAGL1	C9orf142	17.0
E2F5	WDR76	17.0
ONECUT2	MAN1A1	17.0
RFX3	TMEM45B	17.0
GATA3	NFKBIZ	17.0
YBX1	CEP68	-17.0
GATA3	AIM1L	-17.0
MAF	CD70	17.0
LHX1	NHSL2	17.0
YBX1	ADIRF	-17.0
MYCN	TUBB3	17.0
CTCF	UBXN10	17.0
GATA2	FRMD6	17.0
ARNTL	CCDC158	-17.0
LHX1	CPEB3	17.0
HNF1A	ELOVL5	17.0
CTCF	PDE5A	17.0
FOXA1	PLEKHH2	17.0
GATA2	MEGF9	17.0
BHLHE40	CRB2	17.0
GATA5	ERBB4	17.0
GATA4	RBP1	-17.0
TCFL5	PSPH	17.0
GATA4	CDCA2	-17.0
SP4	CEP126	17.0
GATA5	IFI6	-17.0
SP4	TNFRSF9	-17.0
NR1H2	IL2RA	17.0
GATA4	CADM2	17.0
ZNF202	UBE2V2	-17.0
ETV1	DPH2	17.0
GATA2	PHLDB2	17.0
SOX6	ALDH2	-17.0
CTCF	ZNF385B	17.0
GATA5	CPEB3	17.0
CTCF	ACADL	17.0
GATA4	MYRIP	17.0
SOX6	TMSB15A	17.0
MAF	KLF2	17.0
YBX1	SLC2A6	17.0
SP4	TMEM232	17.0
YBX1	IL21R	17.0
GATA3	CHRNB4	-17.0
YBX1	CLCN2	17.0
MYPOP	GABRA5	17.0
MAF	GABBR2	-17.0
MAF	LRP1B	17.0
MYPOP	SAMD5	-17.0
YBX1	SLC7A2	-17.0
CTCF	NTS	17.0
GATA4	FABP6	-17.0
LHX1	SCARA5	17.0
GATA5	TRPC6	17.0
ARNTL	OCIAD2	17.0
LHX1	LYPD1	-17.0
SP4	STC2	17.0
NR1H2	OAS1	17.0
MAF	MASP1	17.0
YBX1	CD70	17.0
GATA3	RTKN2	-17.0
MYCN	ARL9	17.0
GATA5	PDE11A	17.0
TWIST1	CARMIL2	17.0
MAF	CACNA2D1	17.0
LHX1	CAV2	17.0
IRF2	MARCH4	-17.0
LHX1	NR3C2	17.0
GATA4	DLG2	17.0
SP4	SAMD5	17.0
TP63	PPFIA3	17.0
MAX	TENM2	17.0
CTCF	CCDC158	17.0
CTCF	CEMIP	-17.0
MYPOP	CDC14A	-17.0
YBX1	TRIM11	17.0
YBX1	TAP2	17.0
PPARD	IL2RA	-17.0
GATA5	MYRIP	17.0
STAT1	TMC5	17.0
GATA2	LAPTM4B	-17.0
SP4	TPPP3	17.0
THRA	AQP5	17.0
LHX1	PARK2	17.0
SP4	FAM83D	-17.0
MAF	CTSV	-17.0
YBX1	HIST3H2A	17.0
LHX1	MYRIP	17.0
E2F6	KIF1A	17.0
E2F6	FBXO45	17.0
GATA2	PDLIM3	17.0
MNT	S100A3	-17.0
GATA2	NCAM2	17.0
ZNF274	NPTX2	17.0
GATA4	HIST1H4E	-17.0
E4F1	NR4A3	17.0
ZNF202	CCDC183	17.0
SIM1	VEGFA	17.0
GATA3	ART3	-17.0
TWIST1	FAM19A3	17.0
KLF15	ALDH1B1	17.0
GATA2	ZNF385D	17.0
GATA5	RAB30	17.0
GATA2	ST6GALNAC3	17.0
GATA2	CPSF4L	-17.0
PROX1	DEPDC7	17.0
SP4	GSTM3	17.0
HINFP	SOX11	-17.0
MAX	SFT2D2	-17.0
MAX	DNAJC12	17.0
MYPOP	GREB1	-17.0
GATA4	SAMD5	17.0
MAX	SLC7A2	17.0
GATA2	GPR158	-17.0
POU5F1B	FBXW10	17.0
MAX	IL20RA	17.0
LHX1	PKD1L1	17.0
LHX1	EFEMP1	17.0
EHF	HTR2C	17.0
CREB3L2	CRABP1	17.0
GATA3	NR2E3	17.0
LHX1	C3orf67	-17.0
GATA2	RIPK2	-17.0
JUN	CLEC2L	17.0
EHF	SPRR2D	17.0
MYPOP	CT45A1	17.0
SP1	DNAJC6	-17.0
FOXQ1	SLC39A12	-17.0
GATA4	NDUFS6	-16.0
MAF	CD36	16.0
PITX2	AUNIP	16.0
CTCF	KIAA0232	16.0
PITX2	EZH2	16.0
PITX2	NCAPG	16.0
YBX1	PJA2	-16.0
GATA4	ITPR1	16.0
MNT	NDUFS6	-16.0
GATA4	TEK	16.0
PITX2	MAD2L1	16.0
YBX1	TIMM17B	16.0
GATA3	RANBP3L	16.0
PITX2	ARHGAP11A	16.0
SMAD1	LRP1	16.0
GATA2	TEK	16.0
CTCF	KIF4A	-16.0
NFYB	CDC25A	16.0
CTCF	CSTB	-16.0
GATA4	KCTD12	16.0
GATA2	TMTC1	16.0
CTCF	LIFR	16.0
CTCF	SLC19A1	-16.0
YBX1	BICDL1	16.0
GATA4	MRPL36	-16.0
PITX2	NCAPH	16.0
MAF	TRHDE	16.0
NFYB	AURKB	16.0
GATA4	DMXL1	16.0
MAF	ITSN1	16.0
CTCF	HSDL2	16.0
CTCF	DBF4	-16.0
CTCF	KIAA1524	-16.0
CTCF	FZD4	16.0
CTCF	DRC3	16.0
PITX2	ORC1	16.0
GATA5	DMXL1	16.0
NFYB	ORC6	16.0
MAF	CCBE1	16.0
IRF9	OASL	16.0
MECP2	RUNX1T1	16.0
