regulator	target	beta.sign.sum	beta.non.zero	var.exp.median	combined_confidences	prior	precision	recall
sigD	cheC	20.0	20.0	0.962076905961	0.998065844355	1	0.873315363881	0.248847926267
sigE	spoVK	20.0	20.0	0.953915569901	0.998064125818	1	0.873485868102	0.249231950845
lexA	yvzB	-20.0	20.0	0.961371745834	0.998059772192	0	0.872311827957	0.249231950845
gerE	cgeA	20.0	20.0	0.959550325087	0.998054043737	1	0.872483221477	0.249615975422
spoIVCB	ysnD	20.0	20.0	0.961819719308	0.998042815964	1	0.872654155496	0.25
xylR	xylA	-20.0	20.0	0.953244035842	0.998039837168	-1	0.872824631861	0.250384024578
bkdR	buk	20.0	20.0	0.97069139935	0.998038806046	1	0.872994652406	0.250768049155
sigL	lpdV	20.0	20.0	0.954338707148	0.998027005428	1	0.873164218959	0.251152073733
sigO	yvrL	20.0	20.0	0.957200019311	0.998025286891	1	0.873333333333	0.25153609831
sigE	spoIVCB	20.0	20.0	0.958286659005	0.9980241412	1	0.873501997337	0.251920122888
ccpN	gapB	-20.0	20.0	0.949824412647	0.998018756452	-1	0.873670212766	0.252304147465
